Cluster,Price,Url
santa giulia_000,135000,https://www.immobiliare.it/annunci/80802597/
santa giulia_000,160000,https://www.immobiliare.it/annunci/84786324/
santa giulia_000,149000,https://www.immobiliare.it/annunci/83865778/
santa giulia_000,110000,https://www.immobiliare.it/annunci/83216947/
santa giulia_000,148000,https://www.immobiliare.it/annunci/80740297/
santa giulia_000,113000,https://www.immobiliare.it/annunci/80710861/
santa giulia_000,125000,https://www.immobiliare.it/annunci/84283212/
santa giulia_001,139000,https://www.immobiliare.it/annunci/83964892/
santa giulia_001,141000,https://www.immobiliare.it/annunci/82899307/
santa giulia_001,148000,https://www.immobiliare.it/annunci/78565857/
santa giulia_010,198000,https://www.immobiliare.it/annunci/81850376/
ponte lambro_000,120000,https://www.immobiliare.it/annunci/79275525/
ponte lambro_000,112000,https://www.immobiliare.it/annunci/78930913/
ponte lambro_000,119000,https://www.immobiliare.it/annunci/79702789/
ponte lambro_000,100000,https://www.immobiliare.it/annunci/84380362/
ponte lambro_000,115000,https://www.immobiliare.it/annunci/82474648/
ponte lambro_001,120000,https://www.immobiliare.it/annunci/82057500/
ponte lambro_100,220000,https://www.immobiliare.it/annunci/83206027/
rogoredo_000,110000,https://www.immobiliare.it/annunci/84178434/
rogoredo_000,180000,https://www.immobiliare.it/annunci/81067781/
rogoredo_001,209000,https://www.immobiliare.it/annunci/84616710/
rogoredo_001,140000,https://www.immobiliare.it/annunci/83875310/
rogoredo_001,175000,https://www.immobiliare.it/annunci/81205899/
rogoredo_100,245000,https://www.immobiliare.it/annunci/79871957/
rogoredo_101,295000,https://www.immobiliare.it/annunci/84335044/
rogoredo_110,250000,https://www.immobiliare.it/annunci/82323760/
niguarda_000,187500,https://www.immobiliare.it/annunci/84364328/
niguarda_001,245000,https://www.immobiliare.it/annunci/81927476/
niguarda_010,189000,https://www.immobiliare.it/annunci/84748194/
niguarda_010,165000,https://www.immobiliare.it/annunci/84595164/
niguarda_010,184000,https://www.immobiliare.it/annunci/83726107/
niguarda_010,169000,https://www.immobiliare.it/annunci/81757170/
niguarda_010,165000,https://www.immobiliare.it/annunci/81137371/
niguarda_010,149000,https://www.immobiliare.it/annunci/75823828/
niguarda_010,169000,https://www.immobiliare.it/annunci/73816664/
niguarda_011,230000,https://www.immobiliare.it/annunci/80420869/
niguarda_100,269000,https://www.immobiliare.it/annunci/84802020/
niguarda_101,270000,https://www.immobiliare.it/annunci/70036988/
prato centenaro_000,169000,https://www.immobiliare.it/annunci/79962667/
